% Model:              marimba.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jan 20 2021, 23:46
% Table:              Eigenfrequencies (Study 1) - 
% a (m)                                           lambda (Hz)                                       Angular frequency (rad/s)                         Damping ratio (1)                                 Quality factor (1)
0.007                                             14119.654774949848                                88716.40742441297                                 0                                                 Inf
0.008                                             1.6463192518415874E-4i                            0.001034412893409795i                             1                                                 0.5
0.008                                             3.086575682712999E-4i                             0.0019393526979120117i                            1                                                 0.5
0.008                                             5.017060821548219E-4i                             0.003152312283917811i                             1                                                 0.5
0.008                                             3.543529214444801E-4                              0.0022264650695761196                             0                                                 Inf
0.008                                             4.6425446305251467E-4                             0.0029169968210441084                             0                                                 Inf
0.008                                             5.284848699616876E-4                              0.00332056837000999                               0                                                 Inf
0.008                                             4817.306287555712                                 30268.028086153885                                0                                                 Inf
0.008                                             6248.199418639645                                 39258.59478352465                                 0                                                 Inf
0.008                                             7722.69031562853                                  48523.09432305526                                 0                                                 Inf
0.008                                             12814.387159356178                                80515.1691201775                                  0                                                 Inf
0.008                                             12863.699504068445                                80825.00771993618                                 0                                                 Inf
0.008                                             13753.246570640265                                86414.19677866495                                 0                                                 Inf
0.009000000000000001                              3.255381388320028E-4i                             0.0020454164508358283i                            1                                                 0.5
0.009000000000000001                              3.898210992478321E-4i                             0.002449318203222574i                             1                                                 0.5
0.009000000000000001                              7.154019653219547E-4i                             0.004495003117238306i                             1                                                 0.5
0.009000000000000001                              3.8554265366689806E-4                             0.0024224359368108816                             0                                                 Inf
0.009000000000000001                              4.309817990086737E-4                              0.0027079385071931243                             0                                                 Inf
0.009000000000000001                              6.44936083447145E-4                               0.004052252923585049                              0                                                 Inf
0.009000000000000001                              4644.989930218447                                 29185.332481545676                                0                                                 Inf
0.009000000000000001                              5876.809086814977                                 36925.08050737534                                 0                                                 Inf
0.009000000000000001                              7623.981099545767                                 47902.886026880835                                0                                                 Inf
0.009000000000000001                              12572.886120557683                                78997.77334153018                                 0                                                 Inf
0.009000000000000001                              12943.096605676985                                81323.8744221956                                  0                                                 Inf
0.009000000000000001                              13354.82778310512                                 83910.85770671982                                 0                                                 Inf
