% Model:              3Dbell.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 17 2020, 11:10
% Table:              Eigenfrequencies (Study 1) - 
% Eigenfrequency (Hz)                             Angular frequency (rad/s)                         Damping ratio (1)                                 Quality factor (1)
7.604965211393782E-5i                             4.7783405677841303E-4i                            1                                                 0.5
1.190693834153234E-4i                             7.481350004100927E-4i                             1                                                 0.5
2.0312354537041785E-5                             1.2762628758136355E-4                             0                                                 Inf
5.186796760731974E-5                              3.258960519835781E-4                              0                                                 Inf
1.097726829712346E-4                              6.89722108774544E-4                               0                                                 Inf
1.2935964995941578E-4                             8.127906519668956E-4                              0                                                 Inf
111.98231649954582                                703.6056456938804                                 0                                                 Inf
111.98554179488573                                703.6259108221715                                 0                                                 Inf
262.7166214430712                                 1650.6972158029662                                0                                                 Inf
262.72902864322066                                1650.7751725406488                                0                                                 Inf
385.47788504146484                                2422.0289835351937                                0                                                 Inf
385.4797352475167                                 2422.040608722674                                 0                                                 Inf
489.1392944466294                                 3073.352828031251                                 0                                                 Inf
489.1759568471853                                 3073.58318468775                                  0                                                 Inf
509.5648664844129                                 3201.6904821497906                                0                                                 Inf
509.617877867139                                  3202.0235624908487                                0                                                 Inf
